# Emoji List for Documentation and Note-Taking
# Format: :shortcode: emoji
:smile: 😄
:sparkles: ✨
:bell: 🔔
:rocket: 🚀
:fire: 🔥
:check: ✅
:tada: 🎉
:warning: ⚠️
:gear: ⚙️
:book: 📖
:note: 📝
:computer: 💻
:floppy_disk: 💾
:lock: 🔒
:key: 🔑
:mag: 🔍
:star: ⭐
:heart: ❤️
:thumbsup: 👍
:thumbsdown: 👎
:clap: 👏
:memo: 📝
:pushpin: 📌
:bulb: 💡
:calendar: 📅
:clock: ⏰
:email: 📧
:phone: 📱
:globe: 🌐
:house: 🏠
:car: 🚗
:airplane: ✈️
:train: 🚆
:cloud: ☁️
:sun: ☀️
:moon: 🌙
:star2: 🌟
:rainbow: 🌈
:tree: 🌳
:seedling: 🌱
:apple: 🍎
:banana: 🍌
:coffee: ☕
:pizza: 🍕
:cake: 🎂
:beer: 🍺
:wine_glass: 🍷
:musical_note: 🎵
:headphones: 🎧
:microphone: 🎤
:guitar: 🎸
:soccer: ⚽
:basketball: 🏀
:tennis: 🎾
:ski: 🎿
:game_die: 🎲
:art: 🎨
:books: 📚
:pencil: ✏️
:scissors: ✂️
:paperclip: 📎
:lock_with_ink_pen: 🔏
:closed_lock_with_key: 🔐
:open_lock: 🔓
:warning: ⚠️
:exclamation: ❗
:question: ❓
:grey_exclamation: ❕
:grey_question: ❔
:arrow_up: ⬆️
:arrow_down: ⬇️
:arrow_left: ⬅️
:arrow_right: ➡️
:fast_forward: ⏩
:rewind: ⏪
:play_button: ▶️
:stop_button: ⏹️
:repeat: 🔁
:shuffle: 🔀
:music: 🎶
:film_frames: 🎞️
:camera: 📷
:video_camera: 📹
:tv: 📺
:computer_disk: 💽
:floppy_disk: 💾
:cd: 💿
:dvd: 📀
:package: 📦
:envelope: ✉️
:inbox_tray: 📥
:outbox_tray: 📤
:mailbox: 📬
:floppy_disk: 💾
:gem: 💎
:trophy: 🏆
:medal: 🥇
:checkered_flag: 🏁
:anchor: ⚓
:snowflake: ❄️
